,holds,grades
0,"[('B5', 'start'), ('C6', 'start'), ('G5', 'hold'), ('G9', 'hold'), ('G12', 'hold'), ('I18', 'end'), ('J15', 'hold')]",7B+
1,"[('B15', 'hold'), ('C18', 'end'), ('E5', 'hold'), ('E9', 'hold'), ('E12', 'hold'), ('I6', 'start'), ('J5', 'start')]",7B+
2,"[('B10', 'hold'), ('D18', 'end'), ('D15', 'hold'), ('G4', 'start'), ('G8', 'hold'), ('I2', 'start')]",7B+
3,"[('A18', 'end'), ('D15', 'hold'), ('D12', 'hold'), ('H5', 'start'), ('I9', 'hold')]",7B+
4,"[('A5', 'start'), ('C1', 'start'), ('D18', 'end'), ('D12', 'hold'), ('G8', 'hold'), ('H15', 'hold')]",7B+
5,"[('E11', 'hold'), ('F18', 'end'), ('F3', 'start'), ('G8', 'hold'), ('I5', 'start'), ('J15', 'hold'), ('J12', 'hold')]",7B+
6,"[('A15', 'hold'), ('A18', 'end'), ('C10', 'hold'), ('F4', 'start'), ('G3', 'start'), ('G14', 'hold'), ('I12', 'hold'), ('J7', 'hold')]",7B+
7,"[('A18', 'end'), ('D13', 'hold'), ('E14', 'hold'), ('G6', 'start'), ('I10', 'hold'), ('K5', 'start')]",7B+
8,"[('B6', 'hold'), ('B2', 'start'), ('D12', 'hold'), ('E8', 'hold'), ('H17', 'hold'), ('I13', 'hold'), ('K8', 'hold'), ('K18', 'end')]",7B
9,"[('D8', 'hold'), ('F11', 'hold'), ('H14', 'hold'), ('H6', 'start'), ('K18', 'end')]",7B
10,"[('G9', 'hold'), ('I5', 'start'), ('J14', 'hold'), ('J11', 'hold'), ('K9', 'hold'), ('K18', 'end')]",7B
11,"[('A8', 'hold'), ('C17', 'hold'), ('D12', 'hold'), ('F18', 'end'), ('F13', 'hold'), ('F10', 'hold'), ('H2', 'start'), ('J8', 'hold'), ('K5', 'start')]",7B
12,"[('D5', 'start'), ('F18', 'end'), ('F16', 'hold'), ('F10', 'hold'), ('F3', 'start'), ('J13', 'hold'), ('J12', 'hold')]",7B
13,"[('B7', 'hold'), ('F18', 'end'), ('F12', 'hold'), ('F4', 'start')]",7B
14,"[('B8', 'hold'), ('C4', 'start'), ('F11', 'hold'), ('G12', 'hold'), ('I17', 'hold'), ('J14', 'hold'), ('K18', 'end')]",7B
15,"[('C7', 'hold'), ('C12', 'hold'), ('F16', 'hold'), ('G10', 'hold'), ('G11', 'hold'), ('H18', 'end'), ('J4', 'start'), ('K9', 'hold')]",7B
16,"[('A9', 'hold'), ('B13', 'hold'), ('C4', 'start'), ('F18', 'end')]",7B
17,"[('A8', 'hold'), ('B4', 'start'), ('C15', 'hold'), ('F12', 'hold'), ('H18', 'end')]",7B
18,"[('A18', 'end'), ('C9', 'hold'), ('D4', 'start'), ('E5', 'start'), ('F17', 'hold'), ('G3', 'hold'), ('G14', 'hold'), ('I10', 'hold')]",7B
19,"[('B7', 'hold'), ('C4', 'start'), ('C15', 'hold'), ('D11', 'hold'), ('D1', 'hold'), ('F16', 'hold'), ('F10', 'hold'), ('G18', 'end'), ('K18', 'end')]",7B
20,"[('D18', 'end'), ('E14', 'hold'), ('H14', 'hold'), ('H11', 'hold'), ('K5', 'start'), ('K8', 'hold')]",7B
21,"[('E14', 'hold'), ('F11', 'hold'), ('F10', 'hold'), ('H18', 'end'), ('H17', 'hold'), ('K3', 'start'), ('K5', 'start'), ('K9', 'hold')]",7B
22,"[('A10', 'hold'), ('B5', 'start'), ('D7', 'hold'), ('E5', 'start'), ('E12', 'hold'), ('E15', 'hold'), ('H16', 'hold'), ('I18', 'end')]",7B
23,"[('C18', 'end'), ('D16', 'hold'), ('G5', 'start'), ('G12', 'hold'), ('G15', 'hold'), ('H7', 'hold'), ('J5', 'start'), ('K10', 'hold')]",7B
24,"[('A14', 'hold'), ('A18', 'end'), ('B13', 'hold'), ('E12', 'hold'), ('G2', 'hold'), ('G7', 'hold'), ('J9', 'hold'), ('J4', 'start')]",7B
25,"[('B6', 'start'), ('C8', 'hold'), ('D11', 'hold'), ('D1', 'start'), ('F16', 'hold'), ('F14', 'hold'), ('K18', 'end')]",7B
26,"[('E14', 'hold'), ('G18', 'end'), ('H9', 'hold'), ('H6', 'start'), ('I12', 'hold')]",7B
27,"[('A3', 'hold'), ('B4', 'start'), ('E6', 'start'), ('E11', 'hold'), ('H18', 'end'), ('J13', 'hold')]",7B
