,holds,grades,year,angle
0,"[('A18', 'end'), ('C10', 'hold'), ('D15', 'hold'), ('G4', 'start'), ('H8', 'hold')]",7B,2016,40
1,"[('E18', 'end'), ('F13', 'hold'), ('G6', 'start'), ('J16', 'hold'), ('J10', 'hold'), ('J2', 'start')]",7B,2016,40
2,"[('E18', 'end'), ('F14', 'hold'), ('F9', 'hold'), ('G2', 'start'), ('G10', 'hold'), ('I6', 'start')]",7B,2016,40
3,"[('B3', 'start'), ('E10', 'hold'), ('F7', 'hold'), ('H18', 'end'), ('I11', 'hold'), ('I14', 'hold')]",7B,2016,40
4,"[('D10', 'hold'), ('H18', 'end'), ('H14', 'hold'), ('H9', 'hold'), ('I5', 'start')]",7B,2016,40
5,"[('E10', 'hold'), ('G4', 'start'), ('H7', 'hold'), ('I14', 'hold'), ('K18', 'end')]",7B,2016,40
6,"[('A18', 'end'), ('B6', 'hold'), ('D15', 'hold'), ('D11', 'hold'), ('G6', 'start'), ('H8', 'hold'), ('J5', 'start')]",7B,2016,40
7,"[('A18', 'end'), ('E12', 'hold'), ('E16', 'hold'), ('G4', 'start'), ('I10', 'hold'), ('J7', 'hold')]",7B,2016,40
8,"[('C8', 'hold'), ('F5', 'start'), ('G2', 'start'), ('G13', 'hold'), ('G15', 'hold'), ('K18', 'end')]",7B,2016,40
9,"[('D8', 'hold'), ('D6', 'start'), ('E11', 'hold'), ('G2', 'start'), ('G18', 'end'), ('H14', 'hold')]",7B,2016,40
10,"[('C5', 'start'), ('E18', 'end'), ('F15', 'hold'), ('F13', 'hold'), ('G9', 'hold')]",7B,2016,40
11,"[('A5', 'hold'), ('C10', 'hold'), ('E7', 'hold'), ('F14', 'hold'), ('F13', 'hold'), ('F10', 'hold'), ('I18', 'end'), ('K5', 'start')]",7B,2016,40
12,"[('B9', 'hold'), ('C18', 'end'), ('E11', 'hold'), ('G15', 'hold'), ('H8', 'hold'), ('H5', 'start')]",7B,2016,40
13,"[('B18', 'end'), ('F15', 'hold'), ('F14', 'hold'), ('F9', 'hold'), ('G4', 'start'), ('G11', 'hold'), ('I8', 'hold'), ('K6', 'start')]",7B,2016,40
14,"[('C10', 'hold'), ('E7', 'hold'), ('E18', 'end'), ('F13', 'hold'), ('G4', 'start'), ('I9', 'hold'), ('J16', 'hold')]",7B,2016,40
15,"[('B3', 'start'), ('C7', 'hold'), ('C14', 'hold'), ('E18', 'end'), ('G11', 'hold')]",7B,2016,40
16,"[('C5', 'start'), ('D5', 'start'), ('E12', 'hold'), ('E18', 'end'), ('F7', 'hold'), ('H8', 'hold'), ('I14', 'hold')]",7B,2016,40
17,"[('C15', 'hold'), ('C18', 'end'), ('D6', 'start'), ('D3', 'start'), ('G11', 'hold'), ('H14', 'hold'), ('H9', 'hold')]",7B,2016,40
18,"[('A9', 'hold'), ('B18', 'end'), ('B12', 'hold'), ('D15', 'hold'), ('D6', 'start'), ('E8', 'hold'), ('G4', 'start')]",7B,2016,40
19,"[('B9', 'hold'), ('B8', 'hold'), ('B3', 'start'), ('C11', 'hold'), ('D18', 'end'), ('G2', 'start'), ('G17', 'hold'), ('H16', 'hold'), ('H11', 'hold'), ('I13', 'hold'), ('K7', 'hold')]",7B,2016,40
20,"[('C18', 'end'), ('F13', 'hold'), ('F5', 'start'), ('H16', 'hold'), ('I10', 'hold')]",7B,2016,40
21,"[('E9', 'hold'), ('F13', 'hold'), ('H12', 'hold'), ('H8', 'hold'), ('I18', 'end'), ('J5', 'start')]",7B,2016,40
22,"[('B3', 'start'), ('C10', 'hold'), ('E7', 'hold'), ('F12', 'hold'), ('G14', 'hold'), ('I18', 'end')]",7B,2016,40
23,"[('C5', 'start'), ('E9', 'hold'), ('F11', 'hold'), ('G15', 'hold'), ('H12', 'hold'), ('H5', 'hold'), ('I18', 'end')]",7B,2016,40
24,"[('D9', 'hold'), ('G2', 'start'), ('G11', 'hold'), ('G18', 'end'), ('H12', 'hold'), ('H5', 'start'), ('I15', 'hold')]",7B,2016,40
25,"[('C18', 'end'), ('D16', 'hold'), ('D13', 'hold'), ('G7', 'hold'), ('G11', 'hold'), ('K6', 'start')]",7B,2016,40
26,"[('C13', 'hold'), ('C18', 'end'), ('D16', 'hold'), ('G4', 'start'), ('G11', 'hold'), ('H12', 'hold'), ('K8', 'hold')]",7B,2016,40
27,"[('C12', 'hold'), ('D18', 'end'), ('E7', 'hold'), ('F15', 'hold'), ('H11', 'hold'), ('H5', 'start'), ('I4', 'start'), ('K10', 'hold')]",7A+,2016,40
28,"[('A9', 'hold'), ('A14', 'hold'), ('B12', 'hold'), ('D18', 'end'), ('E6', 'hold'), ('E8', 'hold'), ('E14', 'hold'), ('G4', 'start')]",7A+,2016,40
29,"[('B8', 'hold'), ('B4', 'start'), ('D18', 'end'), ('D3', 'start'), ('F16', 'hold'), ('F14', 'hold'), ('H10', 'hold')]",7A+,2016,40
30,"[('D12', 'hold'), ('D9', 'hold'), ('E15', 'hold'), ('E18', 'end'), ('G2', 'start'), ('J8', 'hold')]",7A+,2016,40
31,"[('B16', 'hold'), ('B13', 'hold'), ('C14', 'hold'), ('F12', 'hold'), ('F5', 'start'), ('G12', 'hold'), ('G18', 'end'), ('J10', 'hold'), ('J9', 'hold'), ('K5', 'hold')]",7A+,2016,40
32,"[('B4', 'start'), ('C9', 'hold'), ('D16', 'hold'), ('D13', 'hold'), ('D3', 'start'), ('F15', 'hold'), ('G7', 'hold'), ('G11', 'hold'), ('H18', 'end')]",7A+,2016,40
33,"[('C9', 'hold'), ('C13', 'hold'), ('E6', 'start'), ('F15', 'hold'), ('F10', 'hold'), ('G17', 'hold'), ('H18', 'end'), ('H5', 'start')]",7A+,2016,40
34,"[('C13', 'hold'), ('D18', 'end'), ('E6', 'start'), ('F10', 'hold'), ('G17', 'hold'), ('H5', 'start')]",7A+,2016,40
35,"[('C13', 'hold'), ('D18', 'end'), ('E6', 'start'), ('F10', 'hold'), ('H5', 'start')]",7A+,2016,40
36,"[('B8', 'hold'), ('C15', 'hold'), ('C18', 'end'), ('F13', 'hold'), ('G4', 'start'), ('H12', 'hold'), ('I9', 'hold'), ('J8', 'hold')]",7A+,2016,40
37,"[('B3', 'start'), ('C8', 'hold'), ('C10', 'hold'), ('D18', 'end'), ('G14', 'hold'), ('G15', 'hold'), ('H10', 'hold')]",7A+,2016,40
38,"[('C8', 'hold'), ('E6', 'start'), ('E9', 'hold'), ('E12', 'hold'), ('E15', 'hold'), ('H5', 'start'), ('I18', 'end')]",7A+,2016,40
